white piece strength,white piece file,white piece rank,black piece strength,black piece file,black piece rank,label
6,6,7,7,0,1,True
4,6,3,7,0,8,False
5,3,1,6,6,7,False
0,6,7,4,0,3,True
6,6,1,7,2,0,False
5,4,2,6,4,0,False
0,5,5,7,0,6,True
6,1,6,6,1,1,False
0,4,7,6,0,2,True
6,6,4,7,2,2,False
6,6,8,0,5,1,True
0,2,3,7,0,1,False
7,0,8,0,2,0,False
0,0,5,6,0,8,False
6,4,0,0,3,3,False
7,3,6,0,1,4,True
6,5,0,6,2,1,False
6,3,4,5,6,7,True
7,6,7,0,0,7,True
6,3,4,6,0,2,True
6,2,0,0,0,3,True
4,6,8,7,2,7,True
0,4,2,0,2,1,False
0,5,6,4,6,1,True
7,5,7,0,1,0,False
6,6,3,0,5,0,False
0,6,6,0,1,5,True
0,0,4,0,1,2,False
4,4,0,6,2,1,False
7,0,7,0,3,3,False
6,5,6,0,2,3,True
7,5,8,7,0,1,True
0,3,3,4,3,2,False
0,6,0,6,4,8,False
7,2,1,7,3,1,True
6,3,7,5,5,1,True
7,6,5,4,2,6,True
6,2,0,0,2,7,True
0,5,0,4,0,3,False
7,3,6,7,2,8,True
0,2,6,0,0,4,True
0,3,1,0,1,5,False
6,5,7,6,1,1,True
7,1,6,4,4,6,True
5,2,1,6,2,7,False
7,2,7,7,3,7,True
6,6,0,6,5,0,True
4,0,1,7,0,3,False
6,1,2,5,3,2,False
7,4,8,0,5,7,True
7,5,0,0,6,8,True
4,3,4,6,6,3,True
0,0,5,7,0,8,True
0,0,1,4,0,4,False
6,2,0,6,4,8,True
6,0,3,6,6,4,True
7,6,0,7,1,7,False
7,4,8,7,2,7,True
0,2,3,4,3,2,False
4,2,8,0,6,5,True
6,4,2,4,1,8,True
7,4,1,7,5,6,False
0,0,1,6,2,2,False
6,3,6,4,0,0,True
0,0,2,4,0,5,False
7,0,3,7,5,2,False
6,5,7,4,0,8,True
4,3,6,7,3,2,True
0,3,4,6,0,0,False
6,4,7,4,5,0,True
4,0,3,0,5,4,False
7,0,1,0,1,3,False
6,5,7,6,1,7,True
6,2,8,5,5,2,True
6,0,1,0,6,4,True
5,1,1,6,0,1,False
5,5,2,6,1,2,False
7,5,6,6,4,6,True
7,6,1,0,3,7,False
7,5,6,6,2,6,True
0,5,7,7,4,1,False
0,4,7,4,3,2,True
6,2,1,7,0,4,True
0,0,4,6,4,2,False
0,2,5,6,2,7,False
4,0,3,0,6,5,True
0,0,7,6,1,7,False
7,5,6,4,3,4,True
7,1,0,0,0,8,True
6,6,2,5,6,0,False
6,0,5,4,6,8,True
7,1,8,6,6,0,True
7,0,0,0,6,2,False
7,1,0,6,4,8,False
6,5,8,6,3,4,True
0,5,2,6,4,0,False
0,5,5,4,2,7,False
6,4,0,4,1,2,True
7,1,8,0,5,4,True
5,0,7,6,5,0,False
6,2,8,4,0,2,True
0,1,0,6,1,2,False
7,0,4,4,6,2,False
7,2,1,0,5,5,False
7,2,8,0,0,0,True
0,1,7,4,3,2,False
0,4,7,0,4,0,False
7,4,2,0,0,4,False
7,6,1,7,0,1,False
7,0,2,4,4,6,True
0,5,1,6,3,2,False
6,4,2,5,4,6,True
6,6,1,4,3,2,False
6,0,8,4,5,8,True
7,1,1,0,4,1,False
0,3,1,4,5,6,False
0,3,2,0,4,4,True
4,0,7,0,5,5,True
7,3,4,0,5,0,False
4,0,2,7,5,7,False
6,0,6,0,5,2,False
6,5,6,7,0,0,False
0,5,0,4,1,2,False
7,1,8,7,3,5,True
0,4,5,7,0,4,True
4,5,2,0,4,2,True
6,6,0,4,5,0,True
4,1,2,0,6,5,True
