white piece strength,white piece file,white piece rank,black piece strength,black piece file,black piece rank,label
6,3,4,4,4,0,False
4,1,2,7,6,4,False
6,3,1,4,0,3,True
7,6,7,6,0,6,True
7,0,6,0,2,1,False
7,0,4,6,6,8,True
0,1,0,4,2,0,True
7,5,6,0,3,2,False
4,3,2,6,6,7,False
7,1,6,0,0,6,True
6,6,8,0,4,7,True
7,4,0,6,1,0,False
0,4,7,7,4,0,False
6,1,6,6,5,8,True
4,5,2,6,6,7,False
6,3,1,0,1,5,True
4,2,8,0,0,3,True
0,3,2,0,4,7,False
7,0,8,6,6,7,True
0,0,7,7,4,8,True
7,3,2,7,2,0,False
7,5,7,4,1,8,True
6,0,5,5,4,1,False
0,6,7,0,4,8,True
0,6,3,0,3,4,False
4,0,4,0,6,1,False
4,1,6,0,1,8,True
7,6,8,6,6,3,True
5,0,1,6,0,6,False
6,6,6,5,1,2,False
6,4,1,0,2,1,False
4,0,8,0,5,3,True
