white piece strength,white piece file,white piece rank,black piece strength,black piece file,black piece rank,label
4,6,2,6,5,6,False
0,2,1,0,2,2,True
7,0,5,7,2,7,False
0,5,2,0,5,0,False
4,5,7,6,1,1,True
7,1,2,6,6,6,False
6,0,5,5,3,2,False
0,0,0,0,5,1,False
7,0,2,6,0,7,False
0,0,2,7,5,8,True
0,1,6,0,3,6,False
7,2,7,0,1,0,True
5,3,7,6,5,8,True
4,1,7,6,0,8,True
5,1,8,6,6,7,True
6,4,7,7,2,2,True
7,3,3,7,5,0,False
5,4,1,6,4,6,False
4,6,8,7,5,7,False
6,6,5,6,3,7,True
7,0,2,7,0,7,True
6,4,1,6,0,4,True
6,6,5,4,0,7,True
4,5,1,7,3,2,False
4,6,3,7,4,0,False
4,4,2,7,0,2,False
6,1,6,4,5,0,False
4,5,0,6,6,8,False
0,3,6,4,4,8,True
4,6,6,7,3,4,False
6,0,4,4,1,7,True
6,0,0,0,4,0,False
6,2,7,0,5,6,True
0,6,7,4,0,3,True
6,3,2,4,1,2,False
6,6,3,4,1,0,False
0,6,8,7,0,8,True
6,1,7,4,1,6,True
0,5,7,7,6,6,True
5,3,4,6,2,0,False
6,6,6,5,4,1,False
0,1,7,0,5,6,True
6,5,0,0,6,4,True
6,1,0,5,6,0,False
7,1,2,6,0,6,False
0,6,4,6,1,6,False
5,5,2,6,6,2,True
0,5,0,4,2,8,False
0,3,4,7,6,8,True
4,3,2,7,0,7,False
0,2,8,7,0,0,True
6,0,2,5,4,7,False
6,6,2,7,6,4,True
7,3,4,7,4,1,False
4,6,8,6,2,1,False
6,3,5,0,5,2,True
6,5,7,0,2,6,True
0,3,3,0,5,0,False
6,5,6,7,0,1,True
6,2,8,4,5,1,True
6,0,8,0,5,3,True
4,4,7,7,1,6,True
5,3,3,6,5,7,False
0,0,8,6,6,7,True
