median income,median age,total rooms,total bedrooms,population,households,latitude,longitude,label
3.475,24,4411,776,2038,732,38.16,-121.22,False
2.8994,34,3426,623,1938,647,36.8,-119.78,False
4.775,52,2111,310,772,323,38.11,-122.24,False
3.1629,33,1829,512,1345,500,34.18,-118.37,True
3.0119,22,1671,480,1005,443,34.15,-118.12,False
3.58,10,5156,941,2294,747,33.7,-117.25,False
8.0,28,26,3,29,9,34.25,-119.23,True
2.6397,23,1414,365,889,345,34.39,-119.52,True
3.6181,35,1395,264,756,253,37.58,-120.76,False
2.706,19,1673,318,1298,343,36.22,-119.37,False
4.2386,27,2512,506,1861,511,33.76,-117.94,True
4.125,12,3900,977,1690,892,32.98,-117.26,True
1.4427,43,1763,389,1623,390,36.72,-119.77,False
3.6987,42,1213,269,628,229,33.87,-118.19,False
5.7579,17,4313,717,2629,721,37.58,-122.01,True
3.8646,38,3229,636,1599,609,34.1,-118.06,True
6.0722,4,1318,218,673,225,33.66,-117.59,True
7.1674,26,3535,748,1322,666,34.07,-118.44,True
4.0208,8,40,10,309,16,34.22,-119.09,False
1.4103,52,1511,390,901,403,37.83,-122.28,False
4.2214,14,5548,941,2815,935,35.4,-118.94,False
2.7137,17,6440,1204,3266,1142,39.15,-121.99,False
2.3578,41,1413,261,1070,259,32.8,-117.15,False
11.2979,24,4394,535,1443,528,34.13,-118.49,True
3.4107,29,630,145,378,148,34.13,-117.86,False
6.7058,44,3022,473,1235,477,37.47,-122.27,True
4.8583,28,3231,524,1665,540,34.28,-119.19,True
5.1896,14,2382,377,1278,386,36.31,-119.29,False
1.3569,32,2205,523,1772,479,36.32,-119.64,False
7.8139,9,2153,316,954,324,33.72,-117.77,True
4.1995,34,2159,386,1443,385,34.13,-117.89,False
2.582,28,3528,816,2304,764,33.81,-117.98,True
3.3155,27,3858,1062,2321,873,33.43,-117.62,True
8.3931,9,10484,1603,4005,1419,33.84,-117.79,True
3.2993,25,1305,270,789,235,38.13,-121.25,False
3.6429,28,3104,811,1488,754,37.31,-121.91,True
6.6257,39,2056,381,939,371,34.46,-119.19,True
2.4706,28,1108,284,1498,289,33.9,-118.23,False
1.6214,17,1926,410,1054,321,37.33,-121.01,False
6.256,36,2416,394,1115,386,33.82,-118.37,True
6.5778,46,2198,352,839,335,33.97,-118.39,True
2.1875,34,1354,325,922,304,35.35,-119.01,False
2.3241,42,1743,388,889,341,38.11,-122.24,False
2.6083,38,3115,622,1238,606,36.21,-119.33,False
2.0307,32,2202,674,2178,635,34.09,-118.3,True
3.9485,23,3204,644,2295,614,34.15,-119.16,True
8.3695,37,2260,322,941,303,34.22,-118.21,True
5.2692,4,5998,1092,3182,1042,34.02,-117.58,False
3.6641,25,2769,566,1201,545,34.16,-118.42,True
4.0,37,5257,1360,2128,1264,37.45,-122.18,True
3.3924,14,1258,245,752,264,34.07,-117.18,False
5.0814,25,4177,832,2123,789,33.8,-118.34,True
3.6791,37,1545,341,1909,352,34.25,-118.42,False
1.179,23,1450,642,1258,607,34.42,-119.86,True
2.1667,37,1551,501,2173,474,34.02,-118.26,False
3.0197,28,256,66,214,60,36.67,-121.64,False
3.4896,24,3217,689,1196,684,37.4,-121.99,True
2.8583,19,1144,268,365,279,33.62,-117.72,False
6.1359,14,388,108,35,17,40.12,-121.78,False
1.3485,26,1953,446,1284,414,34.06,-117.18,False
4.7069,27,1683,288,873,258,38.0,-120.97,False
1.7402,34,2028,522,1797,464,32.7,-117.11,False
5.259,13,4491,689,1657,667,38.64,-121.24,True
3.5265,11,2521,521,1390,477,38.8,-121.22,False
2.5568,44,617,131,378,135,37.75,-122.16,False
2.3214,48,1769,429,993,405,34.04,-118.36,False
8.6963,33,1606,254,727,271,37.43,-122.21,True
5.5843,31,3533,729,1647,679,33.85,-118.38,True
4.7344,29,2481,383,1188,385,34.04,-117.31,False
5.5845,26,1775,295,1004,323,34.22,-118.86,True
1.3375,18,4289,1021,2707,939,39.13,-121.54,False
6.9135,52,2010,286,908,326,34.17,-118.27,True
4.8611,15,5115,776,2540,794,38.45,-121.83,False
1.9799,28,1457,397,672,342,32.76,-117.11,False
2.7301,16,3431,721,1777,701,35.13,-120.61,True
7.9184,19,3487,686,2782,584,34.05,-118.74,True
2.6014,15,3595,964,1839,877,34.14,-117.97,False
5.3057,26,1471,348,1089,320,37.44,-121.88,True
3.225,21,2429,579,1011,538,32.8,-117.23,True
1.2575,26,2177,638,1971,560,38.52,-121.47,False
5.5061,17,10267,1683,4956,1483,34.46,-118.5,True
2.4583,29,1599,459,1143,438,34.19,-118.44,True
2.1378,39,2953,878,1379,785,33.77,-118.17,True
4.0,38,1471,329,1207,335,33.8,-118.28,False
5.6921,45,2170,401,1043,394,34.13,-118.24,True
4.2167,52,982,197,653,171,37.72,-122.45,True
5.6013,35,2828,487,1439,490,33.83,-118.36,True
6.1655,52,1945,293,708,275,37.44,-122.15,True
4.2386,44,2795,496,1235,469,34.16,-118.1,True
2.6812,34,1367,288,1183,286,33.89,-118.25,False
2.6667,14,2807,868,2729,803,34.21,-118.39,False
4.1447,11,2838,498,1701,504,38.55,-121.34,False
3.5649,23,3200,907,2029,866,37.38,-122.05,True
3.776,29,2316,522,1275,501,33.93,-117.96,True
1.4012,52,1087,371,3337,350,37.87,-122.26,False
2.7254,41,2136,549,986,557,34.02,-118.47,True
6.767,52,2117,353,734,328,37.45,-122.15,True
4.3365,15,1486,310,455,296,37.29,-121.75,True
4.5938,20,1089,208,531,212,36.74,-119.5,False
6.128,26,3842,609,1961,595,33.74,-118.02,True
