Status of existing checking account,Duration in month,Credit history ,Purpose,Credit amount,Savings account/bonds,Present employment since,Installment rate in percentage of disposable income,Personal status and sex,Other debtors / guarantors,Present residence since,Property,Age in years,Other installment plans,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,foreign worker,label
< 0 DM,6,critical account/ other credits existing (not at this bank),furniture/equipment,1872,... < 100 DM,unemployed,4,male : single,none,4,unknown / no property,36,none,for free,3,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,True
< 0 DM,24,existing credits paid back duly till now,furniture/equipment,2996,unknown/ no savings account,1 <= ... < 4 years,2,male : married/widowed,none,4,"car or other, not in attribute 6",20,none,own,1,skilled employee / official,1.0,none,yes,False
< 0 DM,10,critical account/ other credits existing (not at this bank),furniture/equipment,2132,unknown/ no savings account,... < 1 year,2,female : divorced/separated/married,co-applicant,3,real estate,27,none,rent,2,skilled employee / official,1.0,none,no,True
no checking account,48,delay in paying off in the past,radio/television,7238,unknown/ no savings account,... >= 7 years,3,male : single,none,3,"car or other, not in attribute 6",32,bank,own,2,skilled employee / official,2.0,none,yes,True
no checking account,36,existing credits paid back duly till now,car (new),3079,unknown/ no savings account,1 <= ... < 4 years,4,male : single,none,4,real estate,36,none,own,1,skilled employee / official,1.0,none,yes,True
0 <= ... < 200 DM,48,existing credits paid back duly till now,business,15672,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,"car or other, not in attribute 6",23,none,own,1,skilled employee / official,1.0,"yes, registered under the customers name",yes,False
0 <= ... < 200 DM,6,existing credits paid back duly till now,repairs,454,... < 100 DM,... < 1 year,3,male : married/widowed,none,1,building society savings agreement/ life insurance,22,none,own,1,unskilled - resident,1.0,none,yes,True
no checking account,24,critical account/ other credits existing (not at this bank),car (used),6842,unknown/ no savings account,1 <= ... < 4 years,2,male : single,none,4,building society savings agreement/ life insurance,46,none,own,2,management/ self-employed/ highly qualified employee/ officer,2.0,"yes, registered under the customers name",yes,True
no checking account,24,existing credits paid back duly till now,car (new),1249,... < 100 DM,... < 1 year,4,male : married/widowed,none,2,real estate,28,none,own,1,skilled employee / official,1.0,none,yes,True
0 <= ... < 200 DM,30,delay in paying off in the past,business,2503,100 <= ... < 500 DM,... >= 7 years,4,male : single,none,2,building society savings agreement/ life insurance,41,stores,own,2,skilled employee / official,1.0,none,yes,True
no checking account,24,existing credits paid back duly till now,radio/television,1376,500 <= ... < 1000 DM,4 <= ... < 7 years,4,female : divorced/separated/married,none,1,"car or other, not in attribute 6",28,none,own,1,skilled employee / official,1.0,none,yes,True
no checking account,6,existing credits paid back duly till now,furniture/equipment,4611,... < 100 DM,... < 1 year,1,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,32,none,own,1,skilled employee / official,1.0,none,yes,False
>= 200 DM,36,existing credits paid back duly till now,radio/television,4473,... < 100 DM,... >= 7 years,4,male : single,none,2,"car or other, not in attribute 6",31,none,own,1,skilled employee / official,1.0,none,yes,True
no checking account,24,existing credits paid back duly till now,furniture/equipment,3972,... < 100 DM,4 <= ... < 7 years,2,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,25,none,rent,1,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
no checking account,10,existing credits paid back duly till now,car (new),1418,100 <= ... < 500 DM,1 <= ... < 4 years,3,male : single,none,2,real estate,35,none,rent,1,unskilled - resident,1.0,none,no,True
no checking account,18,existing credits paid back duly till now,furniture/equipment,2515,... < 100 DM,1 <= ... < 4 years,3,male : single,none,4,real estate,43,none,own,1,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
no checking account,6,delay in paying off in the past,business,1743,100 <= ... < 500 DM,1 <= ... < 4 years,1,male : single,none,2,real estate,34,none,own,2,unskilled - resident,1.0,none,yes,True
0 <= ... < 200 DM,24,existing credits paid back duly till now,radio/television,5084,unknown/ no savings account,... >= 7 years,2,female : divorced/separated/married,none,4,"car or other, not in attribute 6",42,none,own,1,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
no checking account,9,existing credits paid back duly till now,radio/television,2697,... < 100 DM,1 <= ... < 4 years,1,male : single,none,2,real estate,32,none,own,1,skilled employee / official,2.0,none,yes,True
0 <= ... < 200 DM,15,existing credits paid back duly till now,repairs,2631,100 <= ... < 500 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,2,real estate,25,none,own,1,unskilled - resident,1.0,none,yes,True
< 0 DM,12,existing credits paid back duly till now,car (new),1228,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,real estate,24,none,own,1,unskilled - resident,1.0,none,yes,False
< 0 DM,18,existing credits paid back duly till now,domestic appliances,1217,... < 100 DM,1 <= ... < 4 years,4,male : married/widowed,none,3,real estate,47,none,own,1,unskilled - resident,1.0,"yes, registered under the customers name",yes,False
no checking account,12,existing credits paid back duly till now,radio/television,1963,... < 100 DM,4 <= ... < 7 years,4,male : single,none,2,"car or other, not in attribute 6",31,none,rent,2,management/ self-employed/ highly qualified employee/ officer,2.0,"yes, registered under the customers name",yes,True
no checking account,24,critical account/ other credits existing (not at this bank),radio/television,2872,100 <= ... < 500 DM,... >= 7 years,3,male : single,none,4,real estate,36,none,own,1,skilled employee / official,2.0,"yes, registered under the customers name",yes,True
0 <= ... < 200 DM,48,all credits at this bank paid back duly,car (new),12169,unknown/ no savings account,unemployed,4,male : single,co-applicant,4,unknown / no property,36,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,True
0 <= ... < 200 DM,24,critical account/ other credits existing (not at this bank),radio/television,1216,100 <= ... < 500 DM,... < 1 year,4,male : single,none,4,unknown / no property,38,bank,own,2,skilled employee / official,2.0,none,yes,False
0 <= ... < 200 DM,12,critical account/ other credits existing (not at this bank),car (new),958,... < 100 DM,4 <= ... < 7 years,2,male : single,none,3,real estate,47,none,own,2,unskilled - resident,2.0,none,yes,True
no checking account,12,existing credits paid back duly till now,furniture/equipment,1736,... < 100 DM,4 <= ... < 7 years,3,female : divorced/separated/married,none,4,real estate,31,none,own,1,unskilled - resident,1.0,none,yes,True
0 <= ... < 200 DM,30,critical account/ other credits existing (not at this bank),car (new),2181,unknown/ no savings account,... >= 7 years,4,male : single,none,4,real estate,36,none,own,2,skilled employee / official,1.0,none,yes,True
< 0 DM,6,critical account/ other credits existing (not at this bank),car (new),4716,unknown/ no savings account,... < 1 year,1,male : single,none,3,real estate,44,none,own,2,unskilled - resident,2.0,none,yes,True
< 0 DM,11,critical account/ other credits existing (not at this bank),car (new),3939,... < 100 DM,1 <= ... < 4 years,1,male : single,none,2,real estate,40,none,own,2,unskilled - resident,2.0,none,yes,True
no checking account,24,existing credits paid back duly till now,furniture/equipment,2835,500 <= ... < 1000 DM,... >= 7 years,3,male : single,none,4,building society savings agreement/ life insurance,53,none,own,1,skilled employee / official,1.0,none,yes,True
