Status of existing checking account,Duration in month,Credit history ,Purpose,Credit amount,Savings account/bonds,Present employment since,Installment rate in percentage of disposable income,Personal status and sex,Other debtors / guarantors,Present residence since,Property,Age in years,Other installment plans,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,foreign worker,label
0 <= ... < 200 DM,12,existing credits paid back duly till now,car (used),2028,unknown/ no savings account,1 <= ... < 4 years,4,male : single,none,2,"car or other, not in attribute 6",30,none,own,1,skilled employee / official,1.0,none,yes,True
0 <= ... < 200 DM,7,existing credits paid back duly till now,radio/television,2329,... < 100 DM,... < 1 year,1,female : divorced/separated/married,guarantor,1,real estate,45,none,own,1,skilled employee / official,1.0,none,yes,True
< 0 DM,20,critical account/ other credits existing (not at this bank),furniture/equipment,4272,... < 100 DM,... >= 7 years,1,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,24,none,own,2,skilled employee / official,1.0,none,yes,True
0 <= ... < 200 DM,18,existing credits paid back duly till now,radio/television,1113,... < 100 DM,1 <= ... < 4 years,4,female : divorced/separated/married,guarantor,4,real estate,26,none,own,1,unskilled - resident,2.0,none,yes,True
no checking account,36,delay in paying off in the past,car (new),10875,... < 100 DM,... >= 7 years,2,male : single,none,2,"car or other, not in attribute 6",45,none,own,2,skilled employee / official,2.0,"yes, registered under the customers name",yes,True
no checking account,12,critical account/ other credits existing (not at this bank),education,3565,unknown/ no savings account,... < 1 year,2,male : single,none,1,building society savings agreement/ life insurance,37,none,own,2,unskilled - resident,2.0,none,yes,True
no checking account,7,critical account/ other credits existing (not at this bank),radio/television,730,unknown/ no savings account,... >= 7 years,4,male : single,none,2,building society savings agreement/ life insurance,46,none,rent,2,unskilled - resident,1.0,"yes, registered under the customers name",yes,True
no checking account,6,existing credits paid back duly till now,furniture/equipment,1766,... < 100 DM,1 <= ... < 4 years,1,male : married/widowed,none,2,building society savings agreement/ life insurance,21,none,rent,1,skilled employee / official,1.0,none,yes,True
no checking account,9,existing credits paid back duly till now,furniture/equipment,1980,... < 100 DM,... < 1 year,2,female : divorced/separated/married,co-applicant,2,"car or other, not in attribute 6",19,none,rent,2,skilled employee / official,1.0,none,yes,False
0 <= ... < 200 DM,18,critical account/ other credits existing (not at this bank),business,1887,unknown/ no savings account,1 <= ... < 4 years,4,male : married/widowed,none,4,real estate,28,bank,own,2,skilled employee / official,1.0,none,yes,True
0 <= ... < 200 DM,45,critical account/ other credits existing (not at this bank),car (used),4576,100 <= ... < 500 DM,unemployed,3,male : single,none,4,"car or other, not in attribute 6",27,none,own,1,skilled employee / official,1.0,none,yes,True
>= 200 DM,12,existing credits paid back duly till now,radio/television,1881,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,2,"car or other, not in attribute 6",44,none,rent,1,unskilled - resident,1.0,"yes, registered under the customers name",yes,True
no checking account,22,existing credits paid back duly till now,radio/television,2675,500 <= ... < 1000 DM,... >= 7 years,3,male : single,none,4,"car or other, not in attribute 6",40,none,own,1,skilled employee / official,1.0,none,yes,True
0 <= ... < 200 DM,24,existing credits paid back duly till now,car (new),3512,100 <= ... < 500 DM,4 <= ... < 7 years,2,male : single,none,3,"car or other, not in attribute 6",38,bank,own,2,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
< 0 DM,21,existing credits paid back duly till now,radio/television,2606,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,28,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,True
no checking account,12,existing credits paid back duly till now,car (new),1386,500 <= ... < 1000 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,2,building society savings agreement/ life insurance,26,none,own,1,skilled employee / official,1.0,none,yes,False
0 <= ... < 200 DM,48,no credits taken/ all credits paid back duly,others,18424,... < 100 DM,1 <= ... < 4 years,1,female : divorced/separated/married,none,2,building society savings agreement/ life insurance,32,bank,own,1,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",no,False
0 <= ... < 200 DM,24,delay in paying off in the past,furniture/equipment,2333,unknown/ no savings account,... < 1 year,4,male : single,none,2,building society savings agreement/ life insurance,29,bank,own,1,unskilled - resident,1.0,none,yes,True
0 <= ... < 200 DM,12,existing credits paid back duly till now,radio/television,1331,... < 100 DM,... < 1 year,2,male : single,none,1,"car or other, not in attribute 6",22,stores,own,1,skilled employee / official,1.0,none,yes,False
no checking account,18,critical account/ other credits existing (not at this bank),education,1864,100 <= ... < 500 DM,1 <= ... < 4 years,4,female : divorced/separated/married,none,2,real estate,30,none,own,2,skilled employee / official,1.0,none,yes,False
no checking account,24,delay in paying off in the past,car (new),2032,... < 100 DM,... >= 7 years,4,male : single,none,4,unknown / no property,60,none,for free,2,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
< 0 DM,18,all credits at this bank paid back duly,car (new),1442,... < 100 DM,4 <= ... < 7 years,4,male : single,none,4,unknown / no property,32,none,for free,2,unskilled - resident,2.0,none,yes,False
no checking account,18,existing credits paid back duly till now,furniture/equipment,1533,... < 100 DM,... < 1 year,4,male : married/widowed,co-applicant,1,building society savings agreement/ life insurance,43,none,own,1,unskilled - resident,2.0,none,yes,False
0 <= ... < 200 DM,12,critical account/ other credits existing (not at this bank),car (used),1804,100 <= ... < 500 DM,... < 1 year,3,male : single,none,4,building society savings agreement/ life insurance,44,none,own,1,skilled employee / official,1.0,none,yes,True
>= 200 DM,12,critical account/ other credits existing (not at this bank),car (new),1480,500 <= ... < 1000 DM,unemployed,2,male : single,none,4,unknown / no property,66,bank,for free,3,unemployed/ unskilled - non-resident,1.0,none,yes,True
no checking account,36,critical account/ other credits existing (not at this bank),car (used),5711,... >= 1000 DM,... >= 7 years,4,male : single,none,2,"car or other, not in attribute 6",38,none,own,2,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,True
0 <= ... < 200 DM,30,no credits taken/ all credits paid back duly,business,4221,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,1,"car or other, not in attribute 6",28,none,own,2,skilled employee / official,1.0,none,yes,True
