Status of existing checking account,Duration in month,Credit history ,Purpose,Credit amount,Savings account/bonds,Present employment since,Installment rate in percentage of disposable income,Personal status and sex,Other debtors / guarantors,Present residence since,Property,Age in years,Other installment plans,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,foreign worker,label
no checking account,21,delay in paying off in the past,car (used),2993,... < 100 DM,1 <= ... < 4 years,3,male : single,none,2,real estate,28,stores,own,2,unskilled - resident,1.0,none,yes,True
no checking account,10,existing credits paid back duly till now,car (new),1364,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,4,"car or other, not in attribute 6",64,none,own,1,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
< 0 DM,6,existing credits paid back duly till now,car (new),1374,unknown/ no savings account,unemployed,4,female : divorced/separated/married,none,3,building society savings agreement/ life insurance,75,none,own,1,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,True
< 0 DM,48,existing credits paid back duly till now,car (used),4788,... < 100 DM,4 <= ... < 7 years,4,male : single,none,3,building society savings agreement/ life insurance,26,none,own,1,skilled employee / official,2.0,none,yes,True
no checking account,36,existing credits paid back duly till now,radio/television,3595,... < 100 DM,... >= 7 years,4,male : single,none,2,"car or other, not in attribute 6",28,none,own,1,skilled employee / official,1.0,none,yes,True
< 0 DM,21,existing credits paid back duly till now,radio/television,3357,... >= 1000 DM,... < 1 year,4,female : divorced/separated/married,none,2,"car or other, not in attribute 6",29,bank,own,1,skilled employee / official,1.0,none,yes,True
no checking account,15,critical account/ other credits existing (not at this bank),radio/television,1360,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,building society savings agreement/ life insurance,31,none,own,2,skilled employee / official,1.0,none,yes,True
< 0 DM,36,existing credits paid back duly till now,education,1977,unknown/ no savings account,... >= 7 years,4,male : single,none,4,unknown / no property,40,none,own,1,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,False
no checking account,12,existing credits paid back duly till now,radio/television,2279,unknown/ no savings account,1 <= ... < 4 years,4,male : single,none,4,unknown / no property,37,none,for free,1,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
< 0 DM,24,existing credits paid back duly till now,furniture/equipment,2359,100 <= ... < 500 DM,unemployed,1,male : divorced/separated,none,1,building society savings agreement/ life insurance,33,none,own,1,skilled employee / official,1.0,none,yes,False
< 0 DM,12,existing credits paid back duly till now,furniture/equipment,1282,... < 100 DM,1 <= ... < 4 years,2,female : divorced/separated/married,none,4,"car or other, not in attribute 6",20,none,rent,1,skilled employee / official,1.0,none,yes,False
0 <= ... < 200 DM,45,critical account/ other credits existing (not at this bank),radio/television,4746,... < 100 DM,... < 1 year,4,male : single,none,2,building society savings agreement/ life insurance,25,none,own,2,unskilled - resident,1.0,none,yes,False
no checking account,12,existing credits paid back duly till now,car (used),1413,... >= 1000 DM,4 <= ... < 7 years,3,male : single,none,2,building society savings agreement/ life insurance,55,none,own,1,skilled employee / official,1.0,none,no,True
0 <= ... < 200 DM,27,no credits taken/ all credits paid back duly,business,8318,... < 100 DM,... >= 7 years,2,female : divorced/separated/married,none,4,unknown / no property,42,none,for free,2,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,False
< 0 DM,10,existing credits paid back duly till now,radio/television,2315,... < 100 DM,... >= 7 years,3,male : single,none,4,real estate,52,none,own,1,unskilled - resident,1.0,none,yes,True
< 0 DM,21,existing credits paid back duly till now,radio/television,1835,... < 100 DM,1 <= ... < 4 years,3,female : divorced/separated/married,none,2,real estate,25,none,own,2,skilled employee / official,1.0,"yes, registered under the customers name",yes,False
< 0 DM,9,critical account/ other credits existing (not at this bank),car (new),2799,... < 100 DM,1 <= ... < 4 years,2,male : single,none,2,real estate,36,none,rent,2,skilled employee / official,2.0,none,yes,True
no checking account,12,existing credits paid back duly till now,furniture/equipment,1574,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,real estate,50,none,own,1,skilled employee / official,1.0,none,yes,True
no checking account,12,existing credits paid back duly till now,car (new),2133,unknown/ no savings account,... >= 7 years,4,female : divorced/separated/married,none,4,unknown / no property,52,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,True
no checking account,4,critical account/ other credits existing (not at this bank),car (new),3380,... < 100 DM,4 <= ... < 7 years,1,female : divorced/separated/married,none,1,real estate,37,none,own,1,skilled employee / official,2.0,none,yes,True
< 0 DM,24,existing credits paid back duly till now,furniture/equipment,3345,... < 100 DM,... >= 7 years,4,male : single,none,2,building society savings agreement/ life insurance,39,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,False
no checking account,10,existing credits paid back duly till now,car (new),1287,unknown/ no savings account,... >= 7 years,4,male : single,co-applicant,2,building society savings agreement/ life insurance,45,none,own,1,unskilled - resident,1.0,none,no,True
