Status of existing checking account,Duration in month,Credit history ,Purpose,Credit amount,Savings account/bonds,Present employment since,Installment rate in percentage of disposable income,Personal status and sex,Other debtors / guarantors,Present residence since,Property,Age in years,Other installment plans,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,foreign worker,label
0 <= ... < 200 DM,6,all credits at this bank paid back duly,education,433,... >= 1000 DM,... < 1 year,4,female : divorced/separated/married,none,2,building society savings agreement/ life insurance,24,bank,rent,1,skilled employee / official,2.0,none,yes,False
no checking account,12,existing credits paid back duly till now,business,1076,... < 100 DM,1 <= ... < 4 years,2,male : married/widowed,none,2,real estate,26,none,own,1,skilled employee / official,1.0,"yes, registered under the customers name",no,True
< 0 DM,18,existing credits paid back duly till now,furniture/equipment,4153,... < 100 DM,1 <= ... < 4 years,2,male : single,co-applicant,3,"car or other, not in attribute 6",42,none,own,1,skilled employee / official,1.0,none,yes,False
< 0 DM,12,existing credits paid back duly till now,domestic appliances,741,100 <= ... < 500 DM,unemployed,4,female : divorced/separated/married,none,3,building society savings agreement/ life insurance,22,none,own,1,skilled employee / official,1.0,none,yes,False
no checking account,60,delay in paying off in the past,radio/television,15653,... < 100 DM,4 <= ... < 7 years,2,male : single,none,4,"car or other, not in attribute 6",21,none,own,2,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
< 0 DM,18,existing credits paid back duly till now,car (new),1216,... < 100 DM,... < 1 year,4,female : divorced/separated/married,none,3,"car or other, not in attribute 6",23,none,rent,1,skilled employee / official,1.0,"yes, registered under the customers name",yes,False
0 <= ... < 200 DM,48,all credits at this bank paid back duly,car (new),12169,unknown/ no savings account,unemployed,4,male : single,co-applicant,4,unknown / no property,36,none,for free,1,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,True
no checking account,30,critical account/ other credits existing (not at this bank),radio/television,4530,... < 100 DM,4 <= ... < 7 years,4,female : divorced/separated/married,none,4,"car or other, not in attribute 6",26,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,True
no checking account,15,critical account/ other credits existing (not at this bank),car (new),5045,unknown/ no savings account,... >= 7 years,1,female : divorced/separated/married,none,4,"car or other, not in attribute 6",59,none,own,1,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
0 <= ... < 200 DM,30,critical account/ other credits existing (not at this bank),car (new),2181,unknown/ no savings account,... >= 7 years,4,male : single,none,4,real estate,36,none,own,2,skilled employee / official,1.0,none,yes,True
