Status of existing checking account,Duration in month,Credit history ,Purpose,Credit amount,Savings account/bonds,Present employment since,Installment rate in percentage of disposable income,Personal status and sex,Other debtors / guarantors,Present residence since,Property,Age in years,Other installment plans,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,foreign worker,label
0 <= ... < 200 DM,12,existing credits paid back duly till now,car (new),7472,unknown/ no savings account,unemployed,1,female : divorced/separated/married,none,2,real estate,24,none,rent,1,unemployed/ unskilled - non-resident,1.0,none,yes,True
0 <= ... < 200 DM,21,existing credits paid back duly till now,furniture/equipment,3976,unknown/ no savings account,4 <= ... < 7 years,2,male : single,none,3,"car or other, not in attribute 6",35,none,own,1,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
no checking account,12,existing credits paid back duly till now,radio/television,2073,100 <= ... < 500 DM,1 <= ... < 4 years,4,female : divorced/separated/married,co-applicant,2,real estate,28,none,own,1,skilled employee / official,1.0,none,yes,True
no checking account,60,critical account/ other credits existing (not at this bank),car (new),13756,unknown/ no savings account,... >= 7 years,2,male : single,none,4,unknown / no property,63,bank,for free,1,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,True
no checking account,9,existing credits paid back duly till now,radio/television,2753,100 <= ... < 500 DM,... >= 7 years,3,male : single,co-applicant,4,"car or other, not in attribute 6",35,none,own,1,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
0 <= ... < 200 DM,36,critical account/ other credits existing (not at this bank),car (new),2820,... < 100 DM,... < 1 year,4,male : divorced/separated,none,4,"car or other, not in attribute 6",27,none,own,2,skilled employee / official,1.0,none,yes,False
no checking account,24,existing credits paid back duly till now,radio/television,2284,... < 100 DM,4 <= ... < 7 years,4,male : single,none,2,"car or other, not in attribute 6",28,none,own,1,skilled employee / official,1.0,"yes, registered under the customers name",yes,True
< 0 DM,24,delay in paying off in the past,car (new),4870,... < 100 DM,1 <= ... < 4 years,3,male : single,none,4,unknown / no property,53,none,for free,2,skilled employee / official,2.0,none,yes,False
0 <= ... < 200 DM,30,critical account/ other credits existing (not at this bank),car (new),5234,... < 100 DM,unemployed,4,male : married/widowed,none,2,"car or other, not in attribute 6",28,none,own,2,management/ self-employed/ highly qualified employee/ officer,1.0,none,yes,False
no checking account,12,no credits taken/ all credits paid back duly,furniture/equipment,2759,... < 100 DM,... >= 7 years,2,male : single,none,4,building society savings agreement/ life insurance,34,none,own,2,skilled employee / official,1.0,none,yes,True
no checking account,12,existing credits paid back duly till now,radio/television,3059,... >= 1000 DM,4 <= ... < 7 years,2,male : divorced/separated,none,4,real estate,61,none,own,1,unskilled - resident,1.0,none,yes,True
0 <= ... < 200 DM,12,existing credits paid back duly till now,retraining,754,unknown/ no savings account,... >= 7 years,4,male : single,none,4,building society savings agreement/ life insurance,38,none,own,2,skilled employee / official,1.0,none,yes,True
no checking account,24,existing credits paid back duly till now,car (used),5433,unknown/ no savings account,unemployed,2,female : divorced/separated/married,none,4,building society savings agreement/ life insurance,26,none,rent,1,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,True
< 0 DM,48,all credits at this bank paid back duly,business,7685,... < 100 DM,4 <= ... < 7 years,2,female : divorced/separated/married,guarantor,4,"car or other, not in attribute 6",37,none,rent,1,skilled employee / official,1.0,none,yes,False
< 0 DM,30,existing credits paid back duly till now,repairs,11998,... < 100 DM,... < 1 year,1,male : divorced/separated,none,1,unknown / no property,34,none,own,1,unskilled - resident,1.0,"yes, registered under the customers name",yes,False
< 0 DM,18,all credits at this bank paid back duly,radio/television,1940,... < 100 DM,... < 1 year,3,male : single,co-applicant,4,unknown / no property,36,bank,for free,1,management/ self-employed/ highly qualified employee/ officer,1.0,"yes, registered under the customers name",yes,True
< 0 DM,24,delay in paying off in the past,car (new),1333,... < 100 DM,unemployed,4,male : single,none,2,real estate,43,none,for free,2,skilled employee / official,2.0,none,yes,False
< 0 DM,15,existing credits paid back duly till now,radio/television,1053,... < 100 DM,... < 1 year,4,male : married/widowed,none,2,real estate,27,none,own,1,skilled employee / official,1.0,none,no,True
no checking account,9,existing credits paid back duly till now,radio/television,2697,... < 100 DM,1 <= ... < 4 years,1,male : single,none,2,real estate,32,none,own,1,skilled employee / official,2.0,none,yes,True
no checking account,12,existing credits paid back duly till now,radio/television,707,... < 100 DM,1 <= ... < 4 years,4,male : single,none,2,real estate,30,bank,own,2,skilled employee / official,1.0,none,yes,True
