age,type of job,marital status,education,has credit in default?,"average yearly balance, in euros",has housing loan?,has personal loan?,contact communication type,last contact day of the month,last contact month of year,"last contact duration, in seconds",number of contacts performed during this campaign and for this client,number of days that passed by after the client was last contacted from a previous campaign,number of contacts performed before this campaign and for this client,outcome of the previous marketing campaign,label
81,retired,divorced,primary,no,949,no,no,cellular,27,sep,188,2,280,1,other,True
39,management,married,unknown,no,76,no,no,cellular,15,sep,200,1,183,1,success,True
41,technician,single,tertiary,no,1646,yes,no,cellular,4,feb,261,1,184,6,success,True
27,student,single,secondary,no,213,no,no,cellular,27,mar,378,1,client was not previously contacted,0,unknown,True
56,retired,divorced,tertiary,no,158,no,yes,cellular,21,jul,854,1,client was not previously contacted,0,unknown,True
72,retired,married,primary,no,4657,no,no,cellular,22,dec,305,3,309,5,success,True
51,technician,married,secondary,no,196,yes,yes,cellular,17,feb,88,1,client was not previously contacted,0,unknown,True
34,blue-collar,married,secondary,no,751,yes,yes,cellular,17,nov,1303,1,client was not previously contacted,0,unknown,True
31,technician,single,secondary,no,846,no,no,cellular,26,may,405,3,205,2,failure,True
43,blue-collar,married,secondary,no,14646,no,no,cellular,23,oct,210,1,client was not previously contacted,0,unknown,True
30,technician,single,tertiary,no,2325,no,no,cellular,10,aug,263,1,127,7,failure,True
52,technician,married,secondary,no,137,no,no,cellular,6,jul,227,2,client was not previously contacted,0,unknown,True
38,blue-collar,divorced,primary,no,0,yes,no,cellular,13,may,531,2,client was not previously contacted,0,unknown,True
42,blue-collar,married,secondary,no,443,yes,no,unknown,2,jun,671,5,client was not previously contacted,0,unknown,True
49,technician,married,secondary,no,307,no,no,cellular,9,dec,854,1,client was not previously contacted,0,unknown,True
58,unemployed,married,primary,no,1183,no,no,cellular,31,jul,1721,5,client was not previously contacted,0,unknown,True
46,services,divorced,secondary,no,0,no,no,unknown,20,jun,1023,3,client was not previously contacted,0,unknown,True
32,unemployed,single,secondary,no,1026,yes,no,cellular,13,may,289,1,client was not previously contacted,0,unknown,True
32,technician,married,secondary,no,484,yes,no,cellular,12,aug,668,2,463,1,success,True
30,management,single,tertiary,no,985,yes,no,cellular,25,oct,304,1,94,2,success,True
40,technician,single,tertiary,no,431,no,no,cellular,7,jul,180,2,client was not previously contacted,0,unknown,True
31,admin.,married,secondary,no,2,yes,yes,cellular,12,may,703,4,client was not previously contacted,0,unknown,True
42,blue-collar,single,secondary,no,625,no,no,unknown,19,jun,651,3,client was not previously contacted,0,unknown,True
28,technician,single,tertiary,no,1628,yes,no,cellular,25,jul,1422,2,client was not previously contacted,0,unknown,True
37,management,married,tertiary,no,0,yes,no,cellular,23,apr,242,5,153,7,failure,True
25,student,single,secondary,no,348,no,no,cellular,10,aug,245,1,client was not previously contacted,0,unknown,True
28,management,single,tertiary,no,80,no,no,cellular,20,oct,676,2,146,2,failure,True
40,management,married,tertiary,no,1308,no,no,telephone,3,feb,1776,2,client was not previously contacted,0,unknown,True
28,technician,single,secondary,no,154,yes,no,cellular,18,feb,416,2,client was not previously contacted,0,unknown,True
36,admin.,single,secondary,no,728,no,no,cellular,30,apr,230,1,client was not previously contacted,0,unknown,True
31,management,single,tertiary,no,11821,no,no,cellular,18,aug,384,11,client was not previously contacted,0,unknown,True
46,blue-collar,married,secondary,no,1147,yes,no,cellular,20,apr,720,1,client was not previously contacted,0,unknown,True
30,technician,married,secondary,no,484,yes,no,unknown,6,may,703,1,client was not previously contacted,0,unknown,True
53,blue-collar,married,secondary,no,6112,no,no,cellular,3,feb,211,1,client was not previously contacted,0,unknown,True
62,management,married,tertiary,no,3371,no,no,cellular,25,mar,187,1,178,2,success,True
62,housemaid,married,tertiary,no,1528,no,no,cellular,15,oct,134,2,184,1,success,True
48,unemployed,married,secondary,no,926,no,no,cellular,12,aug,504,2,178,10,success,True
27,management,single,tertiary,no,2648,no,no,cellular,5,feb,917,1,client was not previously contacted,0,unknown,True
65,retired,married,secondary,no,20806,no,no,telephone,8,apr,523,2,client was not previously contacted,0,unknown,True
28,housemaid,single,tertiary,no,19,no,no,cellular,17,apr,149,1,client was not previously contacted,0,unknown,True
44,management,married,primary,no,4758,yes,no,cellular,22,jul,712,6,client was not previously contacted,0,unknown,True
21,student,single,primary,no,8278,no,no,cellular,29,oct,445,1,client was not previously contacted,0,unknown,True
50,technician,divorced,secondary,no,-54,yes,yes,cellular,13,may,698,2,292,1,failure,True
80,retired,married,primary,no,1468,no,no,cellular,13,jan,330,3,client was not previously contacted,0,unknown,True
42,entrepreneur,divorced,secondary,no,335,yes,no,cellular,12,may,580,1,client was not previously contacted,0,unknown,True
36,technician,married,tertiary,no,341,no,no,cellular,13,aug,282,1,client was not previously contacted,0,unknown,True
45,technician,divorced,secondary,no,2657,no,no,cellular,7,aug,895,3,client was not previously contacted,0,unknown,True
41,blue-collar,married,secondary,no,5517,yes,no,cellular,10,jul,584,1,client was not previously contacted,0,unknown,True
32,self-employed,single,tertiary,no,46,yes,no,cellular,14,jun,485,2,client was not previously contacted,0,unknown,True
35,management,married,tertiary,no,8000,no,no,cellular,13,may,331,1,90,3,success,True
46,admin.,married,secondary,no,5021,no,no,cellular,15,jul,957,1,182,1,success,True
45,management,single,tertiary,no,1411,no,no,cellular,7,sep,800,2,102,3,failure,True
39,admin.,married,secondary,no,1757,no,no,telephone,28,oct,125,1,client was not previously contacted,0,unknown,True
30,management,single,tertiary,no,3384,no,no,cellular,4,jun,578,2,client was not previously contacted,0,unknown,True
30,management,single,tertiary,no,697,no,no,cellular,10,aug,179,3,102,2,success,True
68,retired,divorced,primary,no,250,no,no,cellular,3,feb,360,1,client was not previously contacted,0,unknown,True
53,technician,single,secondary,no,925,no,no,cellular,25,aug,930,3,client was not previously contacted,0,unknown,True
44,management,married,tertiary,no,1138,no,no,cellular,27,aug,523,3,client was not previously contacted,0,unknown,True
36,admin.,single,secondary,no,11174,yes,no,cellular,15,apr,953,1,client was not previously contacted,0,unknown,True
61,retired,married,secondary,no,523,no,no,cellular,13,aug,211,3,183,4,success,True
25,student,single,secondary,no,304,no,no,cellular,26,may,226,2,client was not previously contacted,0,unknown,True
46,blue-collar,married,secondary,no,1723,no,no,cellular,17,jun,176,2,52,7,failure,True
25,admin.,single,secondary,no,1871,no,no,cellular,4,jun,136,1,client was not previously contacted,0,unknown,True
33,technician,single,secondary,no,2085,no,no,cellular,9,feb,501,2,client was not previously contacted,0,unknown,True
31,admin.,single,secondary,no,747,yes,no,unknown,26,may,543,2,client was not previously contacted,0,unknown,True
43,blue-collar,married,secondary,no,699,yes,yes,cellular,20,nov,1258,2,122,2,other,True
59,blue-collar,married,primary,no,1939,no,no,cellular,23,apr,172,1,client was not previously contacted,0,unknown,True
48,admin.,divorced,secondary,no,1180,no,no,cellular,27,jan,142,1,238,3,other,True
46,services,married,secondary,no,273,no,no,cellular,22,aug,565,2,client was not previously contacted,0,unknown,True
39,unemployed,married,primary,no,7005,yes,no,cellular,28,jul,429,2,184,3,success,True
31,management,divorced,tertiary,no,373,no,no,cellular,10,feb,132,6,client was not previously contacted,0,unknown,True
48,management,married,tertiary,no,2266,no,no,cellular,18,nov,676,1,client was not previously contacted,0,unknown,True
43,services,married,secondary,no,-236,yes,no,cellular,28,jul,745,7,client was not previously contacted,0,unknown,True
28,admin.,single,secondary,no,460,yes,no,unknown,26,may,741,6,client was not previously contacted,0,unknown,True
34,technician,married,secondary,no,133,no,no,cellular,15,nov,401,2,187,5,success,True
35,management,single,tertiary,no,992,no,yes,cellular,1,sep,238,1,client was not previously contacted,0,unknown,True
50,services,married,primary,no,5024,yes,yes,cellular,7,may,661,1,267,11,other,True
37,management,divorced,tertiary,no,488,yes,no,cellular,17,sep,328,1,854,2,failure,True
45,unemployed,married,secondary,no,2040,no,no,telephone,2,feb,803,1,client was not previously contacted,0,unknown,True
35,management,married,tertiary,no,36,no,yes,cellular,16,jul,1656,5,client was not previously contacted,0,unknown,True
23,student,single,secondary,no,1234,no,no,cellular,16,nov,250,1,client was not previously contacted,0,unknown,True
35,technician,single,tertiary,no,1880,no,no,cellular,20,may,154,1,client was not previously contacted,0,unknown,True
31,management,married,tertiary,no,6138,no,no,cellular,16,oct,154,2,119,5,failure,True
32,technician,single,secondary,no,540,no,yes,cellular,29,jan,750,1,client was not previously contacted,0,unknown,True
47,admin.,married,secondary,no,3480,no,no,cellular,16,apr,443,1,client was not previously contacted,0,unknown,True
49,services,married,primary,no,1830,yes,no,cellular,13,aug,261,1,179,1,success,True
25,student,single,secondary,no,3713,no,no,cellular,24,may,323,2,353,3,other,True
31,self-employed,married,tertiary,no,5,yes,yes,cellular,21,nov,635,1,135,2,failure,True
44,technician,married,primary,no,755,no,yes,cellular,31,jul,829,4,client was not previously contacted,0,unknown,True
61,admin.,married,secondary,no,1046,yes,no,cellular,21,aug,158,1,client was not previously contacted,0,unknown,True
60,admin.,married,secondary,no,3735,no,no,cellular,22,sep,183,1,184,11,success,True
32,management,married,tertiary,no,4945,no,no,cellular,4,jun,160,1,119,2,other,True
25,management,single,tertiary,no,2506,no,no,cellular,17,feb,485,1,client was not previously contacted,0,unknown,True
30,technician,married,secondary,no,289,yes,no,cellular,14,aug,1184,4,client was not previously contacted,0,unknown,True
55,admin.,divorced,secondary,no,1872,no,no,cellular,28,aug,155,2,93,8,failure,True
38,blue-collar,single,secondary,no,2580,yes,no,cellular,8,apr,1691,2,264,3,failure,True
35,blue-collar,divorced,primary,no,1792,yes,no,cellular,31,jul,630,6,client was not previously contacted,0,unknown,True
46,services,married,primary,no,4343,yes,no,unknown,20,sep,185,1,client was not previously contacted,0,unknown,True
77,retired,married,primary,no,29340,no,no,cellular,15,mar,257,1,91,2,other,True
40,management,married,secondary,no,4396,no,no,cellular,12,aug,432,3,client was not previously contacted,0,unknown,True
27,blue-collar,single,tertiary,no,567,no,no,cellular,26,may,523,3,182,3,success,True
35,services,married,secondary,no,52,yes,no,cellular,4,jun,328,2,94,4,success,True
60,retired,married,primary,no,1542,yes,no,unknown,14,may,930,1,client was not previously contacted,0,unknown,True
23,student,single,secondary,no,794,no,no,cellular,26,jul,607,3,171,3,other,True
54,technician,married,secondary,no,1938,no,yes,cellular,28,jul,551,3,client was not previously contacted,0,unknown,True
53,services,married,secondary,no,6170,no,no,cellular,13,aug,838,4,client was not previously contacted,0,unknown,True
34,management,married,tertiary,no,589,no,no,cellular,1,sep,300,1,44,3,other,True
33,technician,married,secondary,no,180,no,no,cellular,4,aug,561,1,435,3,failure,True
59,retired,divorced,tertiary,no,3444,no,no,cellular,10,aug,252,1,185,2,success,True
33,management,married,tertiary,no,3401,no,no,cellular,20,nov,253,1,client was not previously contacted,0,unknown,True
43,management,divorced,tertiary,no,2367,no,no,cellular,22,sep,83,1,113,3,success,True
42,management,married,tertiary,no,6060,yes,no,cellular,30,apr,316,1,350,2,failure,True
39,management,married,tertiary,no,297,yes,no,cellular,13,may,734,2,client was not previously contacted,0,unknown,True
51,admin.,single,secondary,no,1994,no,no,unknown,18,jun,771,2,client was not previously contacted,0,unknown,True
63,retired,married,primary,no,48,no,no,cellular,9,jun,251,1,client was not previously contacted,0,unknown,True
70,retired,married,tertiary,no,44,no,no,cellular,18,sep,1104,2,88,2,other,True
51,technician,married,tertiary,no,825,no,no,cellular,17,nov,977,3,client was not previously contacted,0,unknown,True
32,management,single,tertiary,no,0,no,no,cellular,5,feb,550,4,client was not previously contacted,0,unknown,True
29,management,married,tertiary,no,51,yes,no,cellular,17,jul,1319,5,client was not previously contacted,0,unknown,True
35,self-employed,single,tertiary,no,5462,no,no,cellular,2,nov,188,1,186,1,success,True
35,management,single,tertiary,no,7918,no,no,cellular,7,sep,497,1,client was not previously contacted,0,unknown,True
35,blue-collar,married,secondary,no,262,no,no,cellular,15,sep,331,1,75,6,failure,True
33,blue-collar,single,secondary,no,498,no,no,cellular,30,apr,301,1,client was not previously contacted,0,unknown,True
46,admin.,divorced,primary,no,429,yes,no,cellular,26,apr,465,2,369,2,success,True
56,admin.,divorced,secondary,no,1693,no,no,cellular,26,oct,238,4,442,4,failure,True
66,housemaid,married,primary,no,40,no,no,telephone,14,oct,290,2,client was not previously contacted,0,unknown,True
50,blue-collar,married,primary,no,4108,yes,no,cellular,7,aug,526,2,client was not previously contacted,0,unknown,True
38,blue-collar,married,primary,no,1852,yes,no,cellular,13,may,606,1,client was not previously contacted,0,unknown,True
40,management,married,tertiary,no,2763,yes,no,cellular,2,jul,566,1,395,2,success,True
43,blue-collar,single,secondary,no,318,yes,no,unknown,5,jun,736,2,client was not previously contacted,0,unknown,True
37,blue-collar,married,secondary,no,4321,no,no,cellular,5,jun,657,1,client was not previously contacted,0,unknown,True
38,management,married,tertiary,no,165,yes,no,cellular,17,apr,526,1,260,2,other,True
27,blue-collar,single,primary,no,232,yes,no,cellular,26,oct,701,2,client was not previously contacted,0,unknown,True
28,self-employed,single,tertiary,no,2503,no,no,cellular,25,may,426,1,client was not previously contacted,0,unknown,True
49,technician,married,tertiary,no,1071,no,no,cellular,17,jun,169,1,client was not previously contacted,0,unknown,True
46,admin.,divorced,secondary,no,2196,no,no,cellular,28,jul,573,5,client was not previously contacted,0,unknown,True
34,admin.,single,secondary,no,-32,no,yes,cellular,30,apr,246,2,client was not previously contacted,0,unknown,True
38,technician,divorced,secondary,no,902,yes,no,cellular,3,feb,650,1,client was not previously contacted,0,unknown,True
37,management,married,tertiary,no,4436,no,no,cellular,13,aug,846,5,client was not previously contacted,0,unknown,True
27,admin.,married,tertiary,no,2855,no,no,cellular,25,jan,240,1,301,3,failure,True
52,admin.,single,secondary,no,2398,yes,no,cellular,3,nov,412,1,client was not previously contacted,0,unknown,True
47,blue-collar,married,secondary,no,1996,no,no,unknown,5,jun,761,2,client was not previously contacted,0,unknown,True
33,management,married,secondary,no,369,no,no,cellular,11,feb,446,1,client was not previously contacted,0,unknown,True
26,technician,married,secondary,no,267,yes,no,cellular,28,jul,817,2,client was not previously contacted,0,unknown,True
28,management,single,tertiary,no,2725,no,no,cellular,16,jun,292,1,504,1,failure,True
28,admin.,single,secondary,no,707,yes,no,cellular,25,may,226,1,client was not previously contacted,0,unknown,True
46,blue-collar,married,secondary,no,640,yes,no,cellular,6,may,246,1,55,5,success,True
41,unknown,single,unknown,no,942,no,no,cellular,22,apr,219,1,client was not previously contacted,0,unknown,True
39,services,single,secondary,no,91,no,no,cellular,3,sep,213,1,185,1,success,True
29,admin.,single,secondary,no,464,no,no,cellular,9,nov,208,2,91,3,success,True
38,management,married,tertiary,yes,327,yes,yes,cellular,9,jul,556,5,client was not previously contacted,0,unknown,True
80,retired,married,primary,no,155,no,no,telephone,4,may,209,1,53,3,success,True
33,management,single,tertiary,no,935,no,no,cellular,9,feb,385,2,92,8,success,True
24,technician,single,secondary,no,726,no,no,cellular,8,sep,445,2,client was not previously contacted,0,unknown,True
25,management,married,secondary,no,2228,yes,no,cellular,23,jul,754,1,client was not previously contacted,0,unknown,True
29,self-employed,married,secondary,no,425,yes,no,unknown,5,jun,562,15,client was not previously contacted,0,unknown,True
23,services,single,secondary,no,279,yes,no,cellular,18,may,843,1,370,1,failure,True
52,management,married,tertiary,no,576,no,no,cellular,18,aug,762,3,client was not previously contacted,0,unknown,True
78,retired,divorced,secondary,no,3417,no,no,cellular,12,may,309,1,181,1,success,True
41,blue-collar,married,primary,no,201,yes,no,cellular,3,feb,157,1,client was not previously contacted,0,unknown,True
65,retired,married,secondary,no,2,no,no,cellular,14,apr,450,1,client was not previously contacted,0,unknown,True
49,blue-collar,married,secondary,no,0,no,yes,cellular,9,jul,625,1,client was not previously contacted,0,unknown,True
60,retired,married,secondary,no,5267,no,no,cellular,4,sep,520,1,client was not previously contacted,0,unknown,True
73,retired,married,primary,no,279,no,no,cellular,28,jan,399,3,client was not previously contacted,0,unknown,True
51,management,single,tertiary,no,297,yes,no,cellular,15,may,415,4,375,1,failure,True
76,retired,married,secondary,no,820,no,no,telephone,23,apr,263,4,client was not previously contacted,0,unknown,True
52,technician,married,tertiary,no,2557,no,no,cellular,8,jul,340,1,156,1,other,True
35,management,married,tertiary,no,611,no,no,cellular,1,oct,305,2,121,1,success,True
35,services,married,secondary,no,2918,no,yes,cellular,16,jul,815,2,407,3,success,True
39,admin.,married,secondary,no,260,yes,no,cellular,13,nov,226,1,94,4,success,True
25,unemployed,single,tertiary,no,343,no,no,cellular,1,jun,377,1,client was not previously contacted,0,unknown,True
39,admin.,divorced,secondary,no,112,no,no,cellular,16,sep,574,3,client was not previously contacted,0,unknown,True
47,technician,married,secondary,no,293,no,no,cellular,1,jun,251,1,90,1,success,True
60,retired,divorced,secondary,no,545,yes,no,unknown,6,may,1030,1,client was not previously contacted,0,unknown,True
31,management,single,tertiary,no,147,no,no,cellular,9,jun,163,2,92,3,success,True
33,technician,married,secondary,no,73,yes,no,cellular,2,jul,218,1,client was not previously contacted,0,unknown,True
95,retired,divorced,primary,no,2282,no,no,telephone,21,apr,207,17,client was not previously contacted,0,unknown,True
52,blue-collar,married,secondary,no,580,no,no,cellular,21,nov,965,2,client was not previously contacted,0,unknown,True
46,blue-collar,married,secondary,no,1568,yes,no,cellular,2,jun,310,1,55,6,other,True
31,management,married,tertiary,no,3,yes,yes,cellular,11,feb,331,1,client was not previously contacted,0,unknown,True
25,technician,single,secondary,no,139,no,yes,cellular,12,oct,138,1,client was not previously contacted,0,unknown,True
49,technician,divorced,secondary,no,305,no,no,cellular,24,jul,367,2,client was not previously contacted,0,unknown,True
60,self-employed,married,tertiary,no,10861,no,no,cellular,9,nov,98,1,91,2,failure,True
60,technician,married,primary,no,65,yes,no,unknown,9,may,1028,2,client was not previously contacted,0,unknown,True
48,admin.,divorced,secondary,no,362,no,no,cellular,13,aug,529,1,client was not previously contacted,0,unknown,True
41,blue-collar,married,secondary,no,580,yes,no,cellular,14,may,874,1,363,1,failure,True
73,retired,married,unknown,no,519,no,no,telephone,16,oct,434,1,57,1,failure,True
47,retired,single,primary,no,3033,no,no,cellular,8,sep,293,1,client was not previously contacted,0,unknown,True
57,admin.,married,unknown,no,2038,no,no,cellular,9,aug,628,1,182,2,failure,True
44,services,married,primary,no,2557,yes,no,cellular,14,apr,250,1,181,8,success,True
46,admin.,married,secondary,no,659,yes,no,telephone,29,jul,1127,11,client was not previously contacted,0,unknown,True
28,technician,single,tertiary,no,4987,no,no,cellular,9,feb,253,21,client was not previously contacted,0,unknown,True
34,technician,married,secondary,no,0,yes,no,cellular,3,aug,261,1,470,2,failure,True
68,retired,married,tertiary,no,2812,no,no,cellular,3,aug,392,4,181,3,success,True
80,retired,married,secondary,no,8304,no,no,telephone,9,jun,712,1,64,12,failure,True
47,management,married,tertiary,no,3663,no,no,cellular,30,mar,364,3,client was not previously contacted,0,unknown,True
37,entrepreneur,married,tertiary,no,1649,no,yes,cellular,1,jul,140,3,client was not previously contacted,0,unknown,True
