Age,Race,Sex, Marital status,Relation to head of the household,Native country,Occupation,Work class,Capital gain last year,Capital loss last year,Education,Work hours per week,label
54,White,Female,widowed,Unmarried,Mexico,office and administrative support,local government,0,0,college for less than one year,40,False
52,White,Male,married,Husband,United States,sales sector,private sector employee,0,0,high school graduate,40,True
34,White,Male,married,Husband,United States,execution and management,private sector employee,0,0,bachelor's degree,50,True
23,White,Female,never married,Own-child,United States,service sector,private sector employee,0,0,associate's degree,20,False
51,Black,Female,widowed,Unmarried,United States,technology and support sector,private sector employee,0,0,high school graduate,40,False
45,White,Male,married,Husband,United States,professional specialty,"owner of a non-incorporated business, professional practice, or farm",0,0,professional degree,38,True
48,White,Male,married,Husband,United States,craft and repair sector,local government,0,0,high school graduate,40,False
28,White,Female,never married,Not-in-family,United States,professional specialty,local government,0,0,bachelor's degree,40,False
25,White,Male,never married,Not-in-family,United States,professional specialty,private sector employee,0,0,bachelor's degree,35,False
22,White,Female,never married,Own-child,United States,service sector,private sector employee,0,0,college for less than one year,25,False
39,White,Female,married,Wife,United States,,,0,0,bachelor's degree,30,False
88,White,Male,widowed,Not-in-family,United States,"agriculture, forestry, and fisheries sector","owner of a non-incorporated business, professional practice, or farm",0,0,finished 8th class,5,False
29,White,Female,never married,Not-in-family,United States,technology and support sector,private sector employee,0,0,high school graduate,45,False
45,White,Male,married,Husband,United States,professional specialty,"owner of a incorporated business, professional practice, or farm",0,1485,professional degree,50,True
49,White,Female,married,Wife,Canada,execution and management,private sector employee,5178,0,college for less than one year,40,True
24,White,Male,never married,Own-child,United States,sales sector,private sector employee,0,0,high school graduate,40,False
40,White,Male,married,Husband,United States,office and administrative support,private sector employee,0,0,college for less than one year,35,True
50,White,Male,married,Husband,El-Salvador,sales sector,"owner of a non-incorporated business, professional practice, or farm",15024,0,high school graduate,55,True
34,Amer-Indian-Eskimo,Male,married,Husband,United States,"transportation, communication, and other public utilities sector",private sector employee,0,0,high school graduate,52,False
64,Black,Male,widowed,Not-in-family,United States,professional specialty,state government,8614,0,doctoral degree,50,True
