Age,Race,Sex, Marital status,Relation to head of the household,Native country,Occupation,Work class,Capital gain last year,Capital loss last year,Education,Work hours per week,label
51,White,Male,married,Husband,United States,execution and management,"owner of a non-incorporated business, professional practice, or farm",0,0,college for less than one year,99,True
61,White,Male,divorced,Not-in-family,United States,execution and management,"owner of a non-incorporated business, professional practice, or farm",0,0,college for less than one year,50,True
31,White,Male,married,Husband,United States,craft and repair sector,private sector employee,0,0,college for less than one year,40,False
36,White,Female,married,Wife,United States,execution and management,"owner of a non-incorporated business, professional practice, or farm",0,0,bachelor's degree,40,False
74,White,Male,married,Husband,United States,"agriculture, forestry, and fisheries sector",without pay in a for-profit family business or farm,0,0,finished 8th class,20,False
41,White,Female,never married,Own-child,United States,,,3418,0,high school graduate,40,False
22,White,Female,never married,Own-child,United States,cleaning and maintenance sector,private sector employee,0,0,college for less than one year,13,False
37,White,Female,never married,Other-relative,Mexico,office and administrative support,private sector employee,0,0,finished 6th class,40,False
46,White,Male,divorced,Not-in-family,United States,"agriculture, forestry, and fisheries sector",private sector employee,0,0,high school graduate,50,False
37,White,Male,married,Husband,United States,professional specialty,private sector employee,0,0,bachelor's degree,55,True
43,White,Male,married,Husband,United States,professional specialty,"owner of a non-incorporated business, professional practice, or farm",0,0,bachelor's degree,21,False
30,White,Female,married,Wife,United States,office and administrative support,private sector employee,0,0,bachelor's degree,40,False
18,White,Female,never married,Own-child,United States,protective services sector,private sector employee,0,0,college for less than one year,20,False
27,White,Female,never married,Own-child,United States,office and administrative support,private sector employee,0,0,high school graduate,40,False
71,White,Male,never married,Not-in-family,United States,cleaning and maintenance sector,private sector employee,0,0,high school graduate,17,False
44,White,Female,divorced,Unmarried,United States,office and administrative support,private sector employee,0,0,high school graduate,40,False
22,White,Female,never married,Not-in-family,United States,office and administrative support,state government,0,0,college for less than one year,40,False
55,White,Male,married,Husband,United States,craft and repair sector,private sector employee,0,0,college for one or more years without a degree,40,True
