Age,Race,Sex, Marital status,Relation to head of the household,Native country,Occupation,Work class,Capital gain last year,Capital loss last year,Education,Work hours per week,label
48,White,Male,married,Husband,United States,craft and repair sector,local government,0,0,college for one or more years without a degree,40,False
24,White,Female,never married,Own-child,United States,service sector,private sector employee,0,0,high school graduate,30,False
25,White,Female,never married,Own-child,United States,office and administrative support,private sector employee,0,0,associate's degree,38,False
36,White,Male,married,Husband,United States,machine operator and inspector,private sector employee,0,0,finished 12th class without diploma,40,False
33,White,Male,married,Husband,United States,"agriculture, forestry, and fisheries sector","owner of a non-incorporated business, professional practice, or farm",0,0,bachelor's degree,75,False
33,White,Male,married,Husband,United States,sales sector,"owner of a non-incorporated business, professional practice, or farm",0,1740,college for less than one year,50,False
58,White,Male,married,Husband,United States,sales sector,private sector employee,0,0,college for less than one year,45,False
40,White,Male,married,Husband,United States,execution and management,private sector employee,3411,0,college for less than one year,50,False
25,Black,Female,never married,Not-in-family,United States,professional specialty,local government,0,0,bachelor's degree,40,False
31,White,Male,married,Husband,United States,craft and repair sector,private sector employee,0,0,high school graduate,40,False
19,Black,Female,never married,Own-child,United States,office and administrative support,local government,0,0,high school graduate,40,False
26,White,Male,never married,Not-in-family,United States,service sector,private sector employee,0,0,high school graduate,40,False
43,White,Male,married,Husband,United States,sales sector,"owner of a non-incorporated business, professional practice, or farm",0,0,bachelor's degree,40,True
53,White,Male,married,Husband,United States,execution and management,private sector employee,0,0,master's degree,40,True
37,White,Female,divorced,Not-in-family,United States,office and administrative support,private sector employee,0,0,college for less than one year,40,False
38,White,Male,married,Husband,United States,craft and repair sector,private sector employee,0,0,college for one or more years without a degree,50,False
28,White,Male,married,Husband,Nicaragua,cleaning and maintenance sector,private sector employee,0,0,associate's degree,40,False
25,White,Female,married,Wife,United States,office and administrative support,"owner of a non-incorporated business, professional practice, or farm",0,0,associate's degree,35,True
35,White,Male,never married,Not-in-family,,professional specialty,private sector employee,8614,0,bachelor's degree,40,True
41,Black,Female,divorced,Unmarried,United States,execution and management,private sector employee,0,0,associate's degree,50,False
34,White,Female,divorced,Unmarried,United States,office and administrative support,private sector employee,0,0,college for less than one year,30,False
47,White,Female,divorced,Unmarried,United States,sales sector,private sector employee,0,0,high school graduate,45,False
