Age,Race,Sex, Marital status,Relation to head of the household,Native country,Occupation,Work class,Capital gain last year,Capital loss last year,Education,Work hours per week,label
40,White,Male,never married,Not-in-family,United States,service sector,private sector employee,0,0,finished 8th class,20,False
46,White,Female,separated,Unmarried,United States,execution and management,private sector employee,0,0,bachelor's degree,40,False
32,White,Male,married,Husband,United States,craft and repair sector,"owner of a incorporated business, professional practice, or farm",0,0,college for less than one year,40,False
62,White,Female,married,Wife,United States,professional specialty,local government,0,0,bachelor's degree,40,False
25,Black,Male,married,Husband,United States,service sector,private sector employee,3103,0,finished 12th class without diploma,40,False
36,White,Female,divorced,Unmarried,United States,office and administrative support,local government,0,0,college for less than one year,65,False
28,White,Male,married,Husband,United States,office and administrative support,private sector employee,0,0,high school graduate,40,False
44,Black,Male,married,Husband,United States,execution and management,private sector employee,5178,0,master's degree,60,True
59,White,Female,married,Wife,United States,,,0,0,high school graduate,40,True
47,White,Female,married,Wife,United States,office and administrative support,state government,0,0,college for less than one year,30,False
59,White,Female,divorced,Not-in-family,United States,execution and management,private sector employee,0,0,college for less than one year,52,False
48,White,Male,married,Husband,United States,service sector,private sector employee,0,0,college for less than one year,40,True
27,Amer-Indian-Eskimo,Male,married,Own-child,United States,,,0,0,associate's degree,40,False
43,White,Female,married,Other-relative,El-Salvador,private household,private sector employee,0,0,finished 6th class,40,False
56,White,Female,never married,Not-in-family,United States,office and administrative support,private sector employee,0,0,high school graduate,40,False
29,White,Female,never married,Not-in-family,United States,professional specialty,private sector employee,14344,0,bachelor's degree,40,True
36,White,Male,married,Husband,United States,machine operator and inspector,private sector employee,0,0,high school graduate,40,True
32,Black,Female,divorced,Unmarried,Honduras,sales sector,private sector employee,0,1138,college for less than one year,40,False
56,Black,Male,separated,Not-in-family,United States,service sector,federal government,0,0,college for less than one year,40,False
39,Black,Female,divorced,Unmarried,United States,service sector,private sector employee,5455,0,high school graduate,40,False
46,Black,Female,never married,Unmarried,United States,execution and management,private sector employee,0,0,bachelor's degree,40,False
37,White,Male,married,Husband,United States,"transportation, communication, and other public utilities sector",local government,0,0,college for less than one year,30,False
51,White,Male,married,Husband,United States,execution and management,federal government,0,0,college for less than one year,40,True
34,White,Male,divorced,Own-child,United States,,,0,0,finished 11th class,84,False
34,Black,Female,never married,Not-in-family,United States,service sector,private sector employee,0,0,high school graduate,25,False
30,White,Male,married,Husband,United States,sales sector,private sector employee,0,0,college for less than one year,40,True
54,Black,Female,never married,Own-child,United States,service sector,private sector employee,0,0,bachelor's degree,36,False
34,White,Male,married,Husband,United States,execution and management,private sector employee,0,0,high school graduate,40,False
60,White,Male,married,Husband,United States,craft and repair sector,"owner of a incorporated business, professional practice, or farm",0,0,college for less than one year,20,False
29,White,Female,married,Wife,United States,service sector,private sector employee,0,1902,high school graduate,35,True
29,White,Male,married,Husband,United States,sales sector,private sector employee,0,0,bachelor's degree,40,True
21,White,Male,never married,Own-child,United States,machine operator and inspector,private sector employee,0,0,high school graduate,30,False
38,White,Male,married,Husband,United States,sales sector,private sector employee,0,0,bachelor's degree,42,True
49,White,Male,never married,Not-in-family,United States,service sector,"owner of a non-incorporated business, professional practice, or farm",0,0,college for less than one year,20,False
25,Amer-Indian-Eskimo,Female,never married,Not-in-family,United States,,,0,0,college for less than one year,20,False
40,White,Male,married,Husband,United States,professional specialty,private sector employee,0,1902,high school graduate,40,True
41,White,Male,married,Husband,United States,craft and repair sector,private sector employee,0,0,associate's degree,60,True
46,Black,Female,widowed,Unmarried,United States,execution and management,local government,0,0,master's degree,35,False
26,White,Male,never married,Not-in-family,United States,"agriculture, forestry, and fisheries sector",private sector employee,0,0,high school graduate,40,False
37,White,Male,married,Husband,United States,office and administrative support,private sector employee,0,0,college for less than one year,40,False
37,White,Male,married,Husband,United States,craft and repair sector,private sector employee,0,0,high school graduate,50,True
19,White,Male,never married,Own-child,United States,"agriculture, forestry, and fisheries sector",private sector employee,0,0,college for less than one year,66,False
49,White,Male,never married,Other-relative,United States,service sector,private sector employee,0,0,finished 8th class,35,False
32,White,Male,married,Husband,United States,craft and repair sector,"owner of a non-incorporated business, professional practice, or farm",0,0,bachelor's degree,40,False
50,White,Male,married,Husband,United States,professional specialty,state government,0,0,doctoral degree,40,True
21,White,Male,never married,Not-in-family,United States,cleaning and maintenance sector,private sector employee,0,0,college for less than one year,20,False
42,White,Male,married,Husband,United States,craft and repair sector,private sector employee,0,0,college for less than one year,40,False
55,White,Female,widowed,Own-child,United States,office and administrative support,private sector employee,0,0,high school graduate,40,False
36,White,Male,never married,Unmarried,United States,machine operator and inspector,private sector employee,0,0,college for less than one year,45,False
36,Asian-Pac-Islander,Female,married,Wife,China,office and administrative support,local government,0,0,high school graduate,40,True
20,White,Female,divorced,Not-in-family,United States,,,0,0,finished 11th class,40,False
44,White,Male,married,Husband,United States,professional specialty,private sector employee,0,0,master's degree,40,False
26,White,Male,never married,Not-in-family,United States,office and administrative support,private sector employee,0,0,bachelor's degree,45,False
32,White,Female,never married,Unmarried,United States,technology and support sector,private sector employee,0,0,college for one or more years without a degree,60,False
26,White,Male,divorced,Unmarried,United States,craft and repair sector,private sector employee,0,0,high school graduate,40,False
35,White,Female,married,Wife,United States,technology and support sector,private sector employee,0,0,high school graduate,35,True
30,White,Male,never married,Not-in-family,United States,service sector,state government,0,0,high school graduate,40,False
38,White,Male,married,Husband,United States,machine operator and inspector,private sector employee,0,0,high school graduate,48,False
21,White,Female,never married,Own-child,United States,service sector,private sector employee,0,0,college for less than one year,30,False
25,White,Male,never married,Not-in-family,United States,office and administrative support,private sector employee,0,0,high school graduate,40,False
32,White,Female,divorced,Other-relative,United States,office and administrative support,private sector employee,4865,0,college for less than one year,40,False
71,White,Female,widowed,Not-in-family,United States,office and administrative support,"owner of a non-incorporated business, professional practice, or farm",0,0,high school graduate,35,False
30,White,Female,never married,Not-in-family,United States,office and administrative support,private sector employee,0,0,high school graduate,45,False
35,White,Male,divorced,Not-in-family,United States,craft and repair sector,"owner of a non-incorporated business, professional practice, or farm",0,0,high school graduate,50,False
54,White,Male,divorced,Not-in-family,United States,professional specialty,private sector employee,0,1340,bachelor's degree,40,False
64,White,Male,married,Husband,United States,"transportation, communication, and other public utilities sector",private sector employee,0,0,finished 11th class,15,False
22,White,Male,never married,Own-child,United States,service sector,private sector employee,0,0,college for less than one year,32,True
46,White,Male,married,Husband,United States,"transportation, communication, and other public utilities sector",private sector employee,0,0,high school graduate,40,True
37,Black,Male,married,Husband,United States,cleaning and maintenance sector,private sector employee,0,0,college for less than one year,50,False
24,Black,Female,separated,Own-child,United States,machine operator and inspector,private sector employee,0,0,high school graduate,40,False
21,White,Female,never married,Other-relative,United States,service sector,private sector employee,0,0,high school graduate,33,False
27,White,Female,never married,Not-in-family,United States,professional specialty,private sector employee,0,1504,master's degree,45,False
32,White,Male,divorced,Not-in-family,United States,professional specialty,local government,0,0,bachelor's degree,40,False
56,White,Male,married,Husband,United States,craft and repair sector,private sector employee,0,0,high school graduate,35,True
46,White,Male,married,Husband,United States,service sector,private sector employee,0,0,high school graduate,40,False
29,White,Female,married,Not-in-family,France,service sector,private sector employee,0,0,high school graduate,20,False
39,White,Male,married,Husband,United States,execution and management,private sector employee,0,0,bachelor's degree,50,True
24,White,Female,never married,Not-in-family,United States,technology and support sector,private sector employee,0,0,college for less than one year,37,False
25,White,Male,never married,Not-in-family,United States,service sector,private sector employee,2174,0,college for less than one year,40,False
36,White,Male,married,Other-relative,Mexico,craft and repair sector,private sector employee,0,0,finished 6th class,40,False
40,Black,Male,divorced,Not-in-family,United States,machine operator and inspector,private sector employee,0,0,college for less than one year,40,False
26,White,Male,married,Husband,United States,craft and repair sector,private sector employee,0,0,high school graduate,40,False
58,White,Male,married,Husband,United States,professional specialty,private sector employee,0,0,master's degree,35,True
56,White,Male,married,Husband,United States,office and administrative support,private sector employee,0,0,high school graduate,40,False
41,White,Male,married,Husband,United States,professional specialty,local government,7688,0,bachelor's degree,40,True
38,White,Female,married,Wife,United States,execution and management,private sector employee,0,0,bachelor's degree,50,True
43,White,Male,never married,Not-in-family,United States,service sector,private sector employee,2174,0,college for less than one year,45,False
23,White,Male,never married,Own-child,United States,office and administrative support,private sector employee,0,0,college for less than one year,24,False
46,White,Female,divorced,Not-in-family,United States,office and administrative support,state government,0,0,high school graduate,38,False
43,White,Female,never married,Not-in-family,United States,execution and management,private sector employee,0,0,college for less than one year,50,False
68,White,Female,never married,Not-in-family,United States,sales sector,private sector employee,0,0,high school graduate,30,False
22,White,Female,never married,Own-child,France,execution and management,private sector employee,0,0,college for less than one year,40,False
23,White,Male,never married,Own-child,United States,machine operator and inspector,private sector employee,0,0,high school graduate,40,False
38,White,Male,married,Husband,United States,craft and repair sector,"owner of a incorporated business, professional practice, or farm",0,0,bachelor's degree,40,False
41,White,Male,married,Husband,United States,sales sector,local government,0,0,college for less than one year,40,False
