Age,Race,Sex, Marital status,Relation to head of the household,Native country,Occupation,Work class,Capital gain last year,Capital loss last year,Education,Work hours per week,label
43,,Male,married,Husband,United States,professional specialty,"owner of a non-incorporated business, professional practice, or farm",0,0,professional degree,35,True
47,White,Male,married,Husband,United States,sales sector,private sector employee,0,0,bachelor's degree,65,True
29,White,Male,married,Husband,United States,machine operator and inspector,private sector employee,0,0,college for one or more years without a degree,40,False
38,White,Male,married,Husband,United States,technology and support sector,local government,0,0,college for less than one year,40,True
41,White,Male,married,Husband,United States,sales sector,private sector employee,0,1902,high school graduate,40,True
21,White,Male,never married,Own-child,United States,,,0,0,college for less than one year,30,False
77,White,Female,widowed,Not-in-family,United States,office and administrative support,local government,0,0,finished 8th class,40,False
34,White,Male,married,Husband,United States,office and administrative support,"owner of a incorporated business, professional practice, or farm",0,0,high school graduate,45,False
48,Black,Female,divorced,Not-in-family,United States,professional specialty,private sector employee,0,0,bachelor's degree,40,False
36,White,Male,married,Husband,United States,professional specialty,private sector employee,0,0,master's degree,40,True
49,White,Male,married,Husband,United States,,,0,0,finished 8th class,99,False
49,Black,Female,divorced,Unmarried,United States,cleaning and maintenance sector,private sector employee,0,0,college for less than one year,40,False
55,White,Male,divorced,Not-in-family,United States,protective services sector,private sector employee,0,0,high school graduate,20,False
48,White,Male,divorced,Not-in-family,United States,craft and repair sector,private sector employee,0,0,college for less than one year,40,False
29,White,Male,never married,Not-in-family,United States,sales sector,private sector employee,0,0,college for less than one year,60,False
19,Black,Male,never married,Not-in-family,United States,technology and support sector,private sector employee,0,0,high school graduate,40,False
25,White,Male,married,Husband,United States,service sector,private sector employee,0,0,high school graduate,30,False
38,Black,Male,never married,Not-in-family,United States,cleaning and maintenance sector,private sector employee,0,0,high school graduate,40,False
19,White,Male,never married,Not-in-family,United States,service sector,private sector employee,0,0,college for less than one year,35,False
25,Black,Female,divorced,Not-in-family,United States,office and administrative support,private sector employee,0,0,associate's degree,45,False
45,White,Female,married,Wife,United States,office and administrative support,private sector employee,0,1902,college for less than one year,20,True
