white piece strength,white piece file,white piece rank,black piece strength,black piece file,black piece rank,label
7,5,0,0,1,6,False
4,0,3,0,1,7,True
4,2,1,6,1,6,False
7,3,5,6,6,8,True
5,2,1,6,3,6,False
4,6,2,6,2,8,False
6,5,6,0,4,3,True
6,0,8,0,1,3,True
7,0,8,6,3,5,True
0,3,4,6,5,8,False
5,0,2,6,6,0,False
0,6,2,0,0,2,False
0,2,8,0,1,0,True
4,0,7,0,4,7,True
0,1,8,0,6,7,True
6,0,8,6,6,8,True
0,4,0,6,2,0,False
0,5,5,0,2,5,True
0,4,2,4,0,2,False
6,3,7,5,4,8,True
0,6,2,4,2,2,False
6,5,8,6,4,1,True
6,6,2,5,2,2,False
6,4,2,7,5,6,False
7,0,0,0,4,3,False
4,3,3,6,5,8,False
5,1,8,6,4,6,True
6,6,0,6,6,4,False
0,1,2,6,5,2,False
4,2,1,6,5,0,False
7,2,1,6,2,6,False
0,4,5,4,5,6,False
4,5,7,6,4,2,True
4,5,7,7,4,7,False
6,6,0,0,6,7,True
0,3,1,7,3,7,False
6,3,6,7,2,1,True
6,4,1,7,3,7,False
0,0,0,0,6,5,True
0,5,2,0,4,3,False
7,4,1,4,4,2,True
7,6,1,0,2,1,False
7,3,4,7,3,6,False
4,6,5,0,0,5,True
6,0,7,0,0,4,True
6,0,8,4,6,3,True
0,4,2,4,3,3,False
6,1,7,0,2,7,True
7,2,7,7,6,8,True
7,6,2,0,6,7,True
0,4,3,7,6,3,True
0,4,4,0,3,2,False
0,0,0,0,1,5,False
0,1,6,4,5,1,False
4,1,0,6,5,2,False
0,2,3,6,6,1,False
6,6,6,7,1,1,False
0,4,0,0,1,2,True
6,6,6,6,2,0,False
6,6,0,6,3,2,False
0,2,4,6,2,7,False
6,3,7,7,0,0,True
4,5,7,7,2,2,True
7,4,6,4,3,7,True
