white piece strength,white piece file,white piece rank,black piece strength,black piece file,black piece rank,label
6,0,0,0,2,4,False
6,6,0,4,0,0,False
6,5,8,0,4,3,True
4,2,6,0,5,8,True
0,5,4,6,2,1,False
6,5,0,5,0,1,False
7,0,6,6,4,6,False
7,1,8,0,1,3,True
0,5,0,0,2,6,True
0,0,5,7,4,2,False
4,4,8,7,3,5,True
4,3,1,0,5,5,True
7,1,8,6,2,8,True
7,1,7,0,5,5,True
4,2,7,6,3,4,True
4,5,7,7,2,1,False
7,2,0,0,5,4,False
0,0,7,7,3,4,True
4,6,0,0,4,1,False
4,2,7,6,6,5,True
5,3,5,6,0,2,True
0,4,5,7,0,2,True
6,1,1,4,4,7,True
7,5,8,0,6,3,True
7,5,7,7,0,6,True
7,3,1,0,2,1,True
0,0,5,0,2,0,False
0,3,4,7,5,0,False
0,1,2,4,4,0,False
0,4,6,4,6,0,True
6,5,8,5,6,5,True
6,2,2,7,5,1,False
